LME,CODE,PROD,YEAR,MONTH,MEAN
GULF_OF_CALIFORNIA,4,CHL,1998,01,0.6373000000000000
GULF_OF_CALIFORNIA,4,CHL,1998,02,0.6650000000000000
GULF_OF_CALIFORNIA,4,CHL,1998,03,0.5491000000000000
GULF_OF_CALIFORNIA,4,CHL,1998,04,0.6004000000000000
GULF_OF_CALIFORNIA,4,CHL,1998,05,0.4579000000000000
GULF_OF_CALIFORNIA,4,CHL,1998,06,0.3165000000000000
GULF_OF_CALIFORNIA,4,CHL,1998,07,0.2443000000000000
GULF_OF_CALIFORNIA,4,CHL,1998,08,0.2176000000000000
GULF_OF_CALIFORNIA,4,CHL,1998,09,0.2511000000000000
GULF_OF_CALIFORNIA,4,CHL,1998,10,0.3342000000000000
GULF_OF_CALIFORNIA,4,CHL,1998,11,0.4953000000000000
GULF_OF_CALIFORNIA,4,CHL,1998,12,0.8423000000000001
GULF_OF_CALIFORNIA,4,CHL,1999,01,0.8238000000000000
GULF_OF_CALIFORNIA,4,CHL,1999,02,0.8525000000000000
GULF_OF_CALIFORNIA,4,CHL,1999,03,0.8034000000000000
GULF_OF_CALIFORNIA,4,CHL,1999,04,0.8675000000000001
GULF_OF_CALIFORNIA,4,CHL,1999,05,0.5870000000000000
GULF_OF_CALIFORNIA,4,CHL,1999,06,0.4309000000000000
GULF_OF_CALIFORNIA,4,CHL,1999,07,0.3092000000000000
GULF_OF_CALIFORNIA,4,CHL,1999,08,0.3894000000000000
GULF_OF_CALIFORNIA,4,CHL,1999,09,0.3673000000000000
GULF_OF_CALIFORNIA,4,CHL,1999,10,0.4036000000000000
GULF_OF_CALIFORNIA,4,CHL,1999,11,0.6280000000000000
GULF_OF_CALIFORNIA,4,CHL,1999,12,0.8379000000000000
GULF_OF_CALIFORNIA,4,CHL,2000,01,0.9207000000000000
GULF_OF_CALIFORNIA,4,CHL,2000,02,1.247000000000000
GULF_OF_CALIFORNIA,4,CHL,2000,03,1.206000000000000
GULF_OF_CALIFORNIA,4,CHL,2000,04,0.9099000000000000
GULF_OF_CALIFORNIA,4,CHL,2000,05,0.6246000000000000
GULF_OF_CALIFORNIA,4,CHL,2000,06,0.5822000000000001
GULF_OF_CALIFORNIA,4,CHL,2000,07,0.3782000000000000
GULF_OF_CALIFORNIA,4,CHL,2000,08,0.5910000000000000
