LME,CODE,PROD,YEAR,MEAN
ALEUTIAN_ISLANDS,65,CHL,1998,0.6966000000000000
ALEUTIAN_ISLANDS,65,CHL,1999,0.6528000000000001
ALEUTIAN_ISLANDS,65,CHL,2000,0.5473000000000000
ALEUTIAN_ISLANDS,65,CHL,2001,0.5855000000000000
ALEUTIAN_ISLANDS,65,CHL,2002,0.5234000000000000
ALEUTIAN_ISLANDS,65,CHL,2003,0.4697000000000000
ALEUTIAN_ISLANDS,65,CHL,2004,0.4771000000000000
ALEUTIAN_ISLANDS,65,CHL,2005,0.4496000000000000
ALEUTIAN_ISLANDS,65,CHL,2006,0.4389000000000000
ALEUTIAN_ISLANDS,65,CHL,2007,0.3996000000000000
ALEUTIAN_ISLANDS,65,CHL,2008,0.5233000000000000
ALEUTIAN_ISLANDS,65,CHL,2009,0.4438000000000000
ALEUTIAN_ISLANDS,65,CHL,2010,0.4468000000000000
ALEUTIAN_ISLANDS,65,CHL,2011,0.4598000000000000
ALEUTIAN_ISLANDS,65,CHL,2012,0.5144000000000000
ALEUTIAN_ISLANDS,65,CHL,2013,0.4754000000000000
