lme_nbr,lme_name,stnbasin_area,qact,ld_din,ld_don,ld_pn,ld_dip,ld_dop,ld_pp,ld_dsi,ld_tn,ld_tp,icep_n,icep_p,icep,ld_din_cat,icep_cat,mergedind_cat
1,East Bering Sea,284 331,96.22,0.0096,0.0284,0.0270,0.00104,0.00152,0.01145,0.271,0.0650,0.01401,-2.38,-0.40,-2.38,1,2,1
2,Gulf of Alaska,909 612,774.66,0.1870,0.2078,0.2995,0.01243,0.01109,0.14668,3.320,0.6943,0.17021,-10.84,-1.68,-10.84,2,1,2
3,California Current,1 080 848,364.15,0.1720,0.1146,0.0958,0.01016,0.00598,0.04666,1.125,0.3824,0.06280,-0.97,0.05,-0.97,2,3,2
4,Gulf of California,1 209 302,38.35,0.0153,0.0074,0.0149,0.00088,0.00036,0.00739,0.293,0.0376,0.00863,-1.02,-0.71,-1.02,1,2,1
5,Gulf of Mexico,5 402 680,1 085.76,1.0600,0.3575,0.3373,0.05098,0.01930,0.15613,3.510,1.7548,0.22641,1.01,0.67,1.01,5,4,5
6,Southeast U.S. Continental Shelf,337 059,87.39,0.1234,0.0335,0.0164,0.00841,0.00164,0.00680,0.469,0.1732,0.01686,-0.65,-3.03,-3.03,2,2,2
7,Northeast U.S. Continental Shelf,562 072,295.54,0.3772,0.1032,0.0549,0.02990,0.00478,0.02283,0.963,0.5352,0.05750,4.15,0.83,0.83,3,3,3
8,Scotian Shelf,104 380,82.89,0.0644,0.0236,0.0131,0.00154,0.00127,0.00544,0.248,0.1012,0.00825,0.27,-5.93,-5.93,1,1,1
9,Labrador - Newfoundland,1 845 239,891.43,0.4164,0.2757,0.0884,0.01692,0.01427,0.03669,1.119,0.7804,0.06788,2.81,0.36,0.36,3,3,3
10,Insular Pacific-Hawaiian,14 510,13.35,0.0095,0.0037,0.0000,0.00018,0.00020,0.00000,0.294,0.0132,0.00038,-111.99,-123.17,-123.17,1,1,1
11,Pacific Central-American Coastal,835 890,607.57,0.3306,0.1955,0.2476,0.02762,0.01003,0.12844,4.058,0.7737,0.16608,-15.81,-7.88,-15.81,3,1,3
