FAO region;Name;CHI;SST;UV;Ocean Acidification;SLR;Ocean-based pollution;Shipping;Demersal Destructive Fishing;Demersal Non-destructive High Bycatch Fishing;Demersal Non-destructive Low Bycatch Fishing;Pelagic High Bycatch Fishing;Pelagic Low Bycatch Fishing
18;Arctic Sea;0.743;0.017;0.015;0.708;0;0.001;0.001;0;0;0;0;0
21;Atlantic, Northwest;3.887;1.351;0.818;1.138;0.002;0.344;0.21;0.017;0.004;0.002;0;0.001
27;Atlantic, Northeast;4.2;1.817;0.73;1.126;0;0.31;0.196;0.017;0.001;0.003;0;0.001
31;Atlantic, Western-Central;4.217;1.799;0.743;1.251;0;0.25;0.147;0.003;0.003;0.009;0.005;0.005
34;Atlantic, Eastern Central;4.104;1.911;0.742;1.168;0;0.149;0.086;0.001;0.001;0.018;0.004;0.024
41;Atlantic, Southwest;3.634;1.633;0.795;1.092;0;0.058;0.032;0.01;0.004;0.003;0.005;0.003
47;Atlantic, Southeast;3.237;1.306;0.789;1.03;0;0.069;0.038;0;0;0.003;0;0.002
48;Atlantic, Antarctic;2.274;0.788;0.72;0.736;0;0.015;0.008;0.001;0;0.005;0;0
51;Indian Ocean, Western;3.689;1.601;0.743;1.146;0;0.087;0.049;0.01;0.008;0.017;0.002;0.024
57;Indian Ocean, Eastern;3.265;1.296;0.787;1.043;0;0.057;0.031;0.004;0.014;0.013;0.006;0.015
58;Indian Ocean, Antarctic And Southern;2.452;0.907;0.799;0.721;0;0.016;0.009;0.001;0;0;0;0
61;Pacific, Northwest;4.177;1.72;0.777;1.09;0;0.276;0.16;0.013;0.064;0.06;0;0.016
67;Pacific, Northeast;3.42;1.113;0.836;0.929;0;0.335;0.197;0.002;0.002;0.003;0;0.003
71;Pacific, Western Central;4.118;1.602;0.694;1.148;0;0.133;0.075;0.02;0.103;0.146;0;0.198
77;Pacific, Eastern Central;2.813;0.727;0.732;1.083;0;0.152;0.086;0.001;0.006;0.009;0.005;0.012
81;Pacific, Southwest;3.44;1.532;0.815;1.018;0;0.044;0.024;0.002;0.002;0.001;0;0.001
87;Pacific, Southeast;2.916;1.028;0.773;0.961;0;0.045;0.024;0.003;0.031;0.037;0.001;0.012
88;Pacific, Antarctic;2.186;0.71;0.75;0.703;0;0.011;0.006;0.002;0;0;0;0.003
